id,wine,average rating,review count,image
r0004,Cabernet Sauvignon RBS Beckstoffer To Kalon Vineyard 2015,4.9,72,https://images.vivino.com/thumbs/GpcSXs2ERS6niDxoAsvESA_pb_x300.png
r0005,Wraith Cabernet Sauvignon 2013,4.9,68,https://images.vivino.com/thumbs/PBhGMcRNQ7aVnVNr7VgnWA_pb_x300.png
r0006,Ratsel Syrah N.V.,4.9,68,https://images.vivino.com/thumbs/ZzMKzqFqRO-6oI3ys3gGgQ_pb_x300.png
r0007,The Beast Cabernet Sauvignon 2012,4.9,60,https://images.vivino.com/thumbs/easjTPIcS-mCQ99XoYOMgQ_pb_x300.png
r0008,Darius II Cabernet Sauvignon 2016,4.9,59,https://images.vivino.com/thumbs/U19RXtSdRMmoAesl2CBygA_pb_x300.png
r0010,Cabernet Sauvignon 2016,4.9,54,https://images.vivino.com/thumbs/pU7uFKR-TAKAOQaf3Hpn2A_pb_x300.png
r0016,Estate Grown Cabernet Sauvignon 2013,4.9,44,https://images.vivino.com/thumbs/2Uw98KdRSdGsqxCvpXxyOQ_375x500.jpg
r0017,G Major Seven Study Cabernet Sauvignon 2015,4.9,44,https://images.vivino.com/thumbs/Q8MlhaRDTbaYh6Ydnr__iQ_pb_x300.png
r0019,Echion Cabernet Sauvignon 2014,4.9,43,https://images.vivino.com/thumbs/0667TG7qS2KsRLsShMTjAw_pb_x300.png
r0021,Beckstoffer To Kalon Vineyard Cabernet Sauvignon 2013,4.9,42,https://images.vivino.com/thumbs/rYocDDvwSaecbbp1vfh0Wg_375x500.jpg
r0024,Helms Vineyard Cabernet Sauvignon 2008,4.9,40,https://images.vivino.com/thumbs/ahtEVX8nQrOVeBmkYJG12w_pb_x300.png
r0026,Raro Cabernet Sauvignon Selezione 2007,4.9,39,https://images.vivino.com/thumbs/bDEH99ARSpCwFbDf3bct3w_375x500.jpg
r0027,Cabernet Sauvignon CCS Beckstoffer To Kalon Vineyard 2009,4.9,39,https://images.vivino.com/thumbs/_jt3dPPrSZKfVmV6J8YlLg_pb_x300.png
r0028,Cabernet Sauvignon RBS Beckstoffer To Kalon Vineyard 2006,4.9,38,https://images.vivino.com/thumbs/GpcSXs2ERS6niDxoAsvESA_pb_x300.png
r0029,True Vineyard Cabernet Sauvignon 2014,4.9,38,https://images.vivino.com/thumbs/T8_v4hizTR-YX2nggkI52w_pb_x300.png
r0033,Georges III Vineyard Cabernet Sauvignon N.V.,4.9,35,https://images.vivino.com/thumbs/cQi5_whFQr2vCC7aUU3h8A_375x500.jpg
r0035,Songbook Cabernet Sauvignon 2012,4.9,35,https://images.vivino.com/thumbs/fkRNRyqNSY6et6yVvdHh8g_pb_x300.png
r0036,Kayli Morgan Vineyard Cabernet Sauvignon 2015,4.9,35,https://images.vivino.com/thumbs/ZOn7KuOhTCap7hb74ucQVA_pb_x300.png
r0037,Madrona Ranch Cabernet Sauvignon 2002,4.9,34,https://images.vivino.com/thumbs/L27lLpSLSQmHB9x5xFBpmQ_pb_x300.png
r0038,Rattrapante Grenache 2012,4.9,34,https://images.vivino.com/thumbs/DtBMhsMBTtiA4URvVaUBNA_pb_x300.png
r0040,Five Sisters Pinot Noir N.V.,4.9,34,https://images.vivino.com/thumbs/KCmhdA6tSl6MVeNgMT40MA_375x500.jpg
r0042,Cabernet Sauvignon Proprietor Grown 2002,4.9,33,https://images.vivino.com/thumbs/JL0BHEkRTxqJUuW9QfABtA_pb_x300.png
r0052,Napa Valley Cabernet Sauvignon 2008,4.9,30,https://images.vivino.com/thumbs/WICpb7AnQnWZgDsrjpRfhg_pb_x300.png
r0053,Cabernet Sauvignon Beckstoffer To Kalon Vineyard 2012,4.9,29,https://images.vivino.com/thumbs/k3c1IEAGSiqZ7wKSwQe26w_pb_x300.png
r0056,Thorevilos Cabernet Sauvignon 2010,4.9,29,https://images.vivino.com/thumbs/qjWbEuWWTBqEgUUa7qbz4w_pb_x300.png
