wine id,type id
r0004,t1
r0005,t1
r0006,t1
r0007,t1
r0008,t1
r0010,t1
r0016,t1
r0017,t1
r0019,t1
r0021,t1
r0024,t1
r0026,t1
r0027,t1
r0028,t1
r0029,t1
r0033,t1
r0035,t1
r0036,t1
r0037,t1
r0038,t1
r0040,t1
r0042,t1
r0052,t1
r0053,t1
r0056,t1
r0057,t1
r0058,t1
r0059,t1
r0060,t1
r0076,t1
r0086,t1
r0095,t1
r0096,t1
r0099,t1
r0102,t1
r0106,t1
r0111,t1
r0114,t1
r0117,t1
r0118,t1
r0119,t1
r0121,t1
r0122,t1
r0127,t1
r0128,t1
r0131,t1
r0132,t1
r0133,t1
r0134,t1
r0135,t1
r0138,t1
r0144,t1
r0148,t1
r0157,t1
r0159,t1
r0165,t1
r0176,t1
r0179,t1
r0180,t1
r0188,t1
r0189,t1
r0192,t1
r0194,t1
r0197,t1
r0201,t1
r0210,t1
r0213,t1
r0216,t1
r0220,t1
r0223,t1
r0229,t1
r0233,t1
r0234,t1
r0236,t1
r0238,t1
r0244,t1
r0246,t1
r0258,t1
r0263,t1
r0264,t1
r0268,t1
r0269,t1
r0274,t1
r0280,t1
r0281,t1
r0283,t1
r0289,t1
r0291,t1
r0292,t1
r0296,t1
r0302,t1
r0304,t1
r0305,t1
r0306,t1
r0309,t1
r0310,t1
r0313,t1
r0317,t1
r0318,t1
r0321,t1
r0322,t1
r0327,t1
r0329,t1
r0332,t1
r0340,t1
r0344,t1
r0345,t1
r0349,t1
r0350,t1
r0354,t1
r0359,t1
r0361,t1
r0365,t1
r0366,t1
r0368,t1
r0370,t1
r0372,t1
r0373,t1
r0374,t1
r0376,t1
r0377,t1
r0378,t1
r0382,t1
r0383,t1
r0384,t1
r0385,t1
r0386,t1
r0387,t1
r0388,t1
r0389,t1
r0393,t1
r0394,t1
r0395,t1
r0401,t1
r0414,t1
r0415,t1
r0417,t1
r0423,t1
r0425,t1
r0428,t1
r0430,t1
r0431,t1
r0432,t1
r0434,t1
r0436,t1
r0439,t1
r0443,t1
r0445,t1
r0448,t1
r0449,t1
r0450,t1
r0451,t1
r0452,t1
r0453,t1
r0459,t1
r0461,t1
r0463,t1
r0464,t1
r0465,t1
r0469,t1
r0470,t1
r0471,t1
r0472,t1
r0473,t1
r0475,t1
r0479,t1
r0480,t1
r0482,t1
r0483,t1
r0485,t1
r0486,t1
r0488,t1
r0491,t1
r0494,t1
r0499,t1
r0503,t1
r0504,t1
r0508,t1
r0509,t1
r0511,t1
r0513,t1
r0515,t1
r0516,t1
r0518,t1
r0521,t1
r0525,t1
r0537,t1
r0541,t1
r0553,t1
r0556,t1
r0559,t1
r0567,t1
r0586,t1
r0588,t1
r0594,t1
r0596,t1
r0598,t1
r0634,t1
r0642,t1
r0644,t1
r0651,t1
r0666,t1
r0680,t1
r0684,t1
r0686,t1
r0709,t1
r0711,t1
r0713,t1
r0718,t1
r0719,t1
w0005,t2
w0018,t2
w0021,t2
w0025,t2
w0026,t2
w0032,t2
w0033,t2
w0037,t2
w0038,t2
w0042,t2
w0043,t2
w0044,t2
w0048,t2
w0052,t2
w0072,t2
w0081,t2
w0085,t2
w0086,t2
w0087,t2
w0089,t2
w0090,t2
w0104,t2
w0105,t2
w0109,t2
w0111,t2
w0112,t2
w0114,t2
w0116,t2
w0124,t2
w0126,t2
w0127,t2
w0131,t2
w0138,t2
w0141,t2
w0143,t2
w0148,t2
w0149,t2
w0152,t2
w0154,t2
w0163,t2
w0169,t2
w0170,t2
w0176,t2
w0182,t2
w0189,t2
w0193,t2
w0195,t2
w0196,t2
w0197,t2
w0198,t2
w0200,t2
w0212,t2
w0221,t2
w0222,t2
w0224,t2
w0230,t2
w0235,t2
w0236,t2
w0238,t2
w0239,t2
w0242,t2
w0247,t2
w0248,t2
w0249,t2
w0250,t2
w0251,t2
w0256,t2
w0259,t2
w0262,t2
w0263,t2
w0265,t2
w0266,t2
w0269,t2
w0272,t2
w0273,t2
w0274,t2
w0277,t2
w0278,t2
w0279,t2
w0285,t2
w0290,t2
w0293,t2
w0295,t2
w0300,t2
w0301,t2
w0305,t2
w0312,t2
w0313,t2
w0314,t2
w0316,t2
w0319,t2
w0320,t2
w0325,t2
w0326,t2
w0330,t2
w0332,t2
w0333,t2
w0336,t2
w0337,t2
w0338,t2
w0341,t2
w0343,t2
w0345,t2
w0353,t2
w0372,t2
w0374,t2
w0379,t2
w0381,t2
w0382,t2
w0386,t2
w0387,t2
w0389,t2
w0393,t2
w0395,t2
w0398,t2
w0404,t2
w0408,t2
w0410,t2
w0418,t2
w0419,t2
w0420,t2
w0423,t2
w0424,t2
w0425,t2
w0428,t2
w0439,t2
w0440,t2
w0443,t2
w0444,t2
w0445,t2
w0447,t2
w0448,t2
w0449,t2
w0452,t2
w0457,t2
w0460,t2
w0461,t2
w0464,t2
w0466,t2
w0476,t2
w0479,t2
w0481,t2
w0485,t2
w0490,t2
w0491,t2
w0492,t2
w0494,t2
w0498,t2
w0499,t2
w0503,t2
o0026,t3
o0033,t3
o0034,t3
o0037,t3
o0039,t3
o0045,t3
o0063,t3
o0094,t3
o0095,t3
o0100,t3
o0109,t3
o0132,t3
o0139,t3
o0140,t3
o0142,t3
o0147,t3
o0149,t3
o0161,t3
o0165,t3
o0183,t3
o0186,t3
o0190,t3
o0198,t3
o0202,t3
o0214,t3
o0218,t3
o0221,t3
o0235,t3
o0243,t3
o0247,t3
o0248,t3
o0272,t3
o0278,t3
o0282,t3
o0288,t3
o0292,t3
o0305,t3
o0306,t3
o0313,t3
o0328,t3
o0331,t3
o0332,t3
o0334,t3
o0336,t3
o0338,t3
o0342,t3
o0360,t3
o0362,t3
o0371,t3
o0378,t3
o0385,t3
o0397,t3
o0404,t3
o0413,t3
o0419,t3
o0421,t3
o0432,t3
o0433,t3
o0436,t3
o0445,t3
o0452,t3
o0465,t3
o0482,t3
o0484,t3
o0487,t3
o0492,t3
o0497,t3
s0001,t4
s0002,t4
s0003,t4
s0004,t4
s0005,t4
s0006,t4
s0007,t4
s0008,t4
s0009,t4
s0010,t4
s0011,t4
s0012,t4
s0013,t4
s0014,t4
s0015,t4
s0016,t4
s0017,t4
s0018,t4
s0019,t4
s0020,t4
s0021,t4
s0022,t4
s0023,t4
s0024,t4
s0025,t4
s0026,t4
s0027,t4
s0028,t4
s0029,t4
s0030,t4
s0031,t4
s0032,t4
s0033,t4
s0034,t4
s0035,t4
s0036,t4
s0037,t4
s0038,t4
s0039,t4
s0040,t4
s0041,t4
s0042,t4
s0043,t4
s0044,t4
s0045,t4
s0046,t4
s0047,t4
s0048,t4
s0049,t4
s0050,t4
s0051,t4
s0052,t4
s0053,t4
s0054,t4
s0055,t4
s0056,t4
s0057,t4
s0058,t4
s0059,t4
s0060,t4
s0061,t4
s0062,t4
s0063,t4
s0064,t4
s0065,t4
s0066,t4
s0067,t4
s0068,t4
s0069,t4
