wine id,varietal id
r0004,g2
r0005,g2
r0006,g4
r0007,g2
r0008,g2
r0010,g2
r0016,g2
r0017,g2
r0019,g2
r0021,g2
r0024,g2
r0026,g2
r0027,g2
r0028,g2
r0029,g2
r0033,g2
r0035,g2
r0036,g2
r0037,g2
r0038,g6
r0040,g1
r0042,g2
r0052,g2
r0053,g2
r0056,g2
r0057,g2
r0058,g1
r0059,g2
r0060,g2
r0076,g5
r0086,g5
r0095,g2
r0096,g2
r0099,g2
r0102,g5
r0106,g2
r0111,g5
r0114,g2
r0117,g2
r0118,g5
r0119,g2
r0121,g2
r0122,g2
r0127,g2
r0128,g2
r0131,g5
r0132,g2
r0133,g2
r0134,g2
r0135,g2
r0138,g2
r0144,g2
r0148,g2
r0157,g2
r0159,g2
r0165,g5
r0176,g2
r0179,g2
r0180,g2
r0188,g2
r0189,g2
r0192,g2
r0194,g2
r0197,g2
r0201,g2
r0210,g1
r0213,g2
r0216,g2
r0220,g2
r0223,g2
r0229,g2
r0233,g4
r0234,g2
r0236,g5
r0238,g1
r0244,g2
r0246,g2
r0258,g2
r0263,g2
r0264,g2
r0268,g4
r0269,g2
r0274,g2
r0280,g2
r0281,g4
r0283,g2
r0289,g2
r0291,g2
r0292,g2
r0296,g2
r0302,g2
r0304,g2
r0305,g2
r0306,g2
r0309,g4
r0310,g2
r0313,g2
r0317,g2
r0318,g2
r0321,g2
r0322,g2
r0327,g2
r0329,g2
r0332,g2
r0340,g2
r0344,g4
r0345,g2
r0349,g5
r0350,g6
r0354,g1
r0359,g2
r0361,g2
r0365,g2
r0366,g2
r0368,g6
r0370,g2
r0372,g2
r0373,g2
r0374,g2
r0376,g2
r0377,g2
r0378,g2
r0382,g2
r0383,g2
r0384,g2
r0385,g2
r0386,g2
r0387,g2
r0388,g2
r0389,g2
r0393,g2
r0394,g2
r0395,g2
r0401,g2
r0414,g2
r0415,g4
r0417,g1
r0423,g2
r0425,g2
r0428,g2
r0430,g4
r0431,g2
r0432,g4
r0434,g2
r0436,g2
r0439,g2
r0443,g2
r0445,g2
r0448,g2
r0449,g2
r0450,g2
r0451,g2
r0452,g2
r0453,g2
r0459,g2
r0461,g2
r0463,g2
r0464,g2
r0465,g2
r0469,g1
r0470,g3
r0471,g2
r0472,g1
r0473,g2
r0475,g2
r0479,g2
r0480,g2
r0482,g1
r0483,g2
r0485,g2
r0486,g2
r0488,g2
r0491,g2
r0494,g2
r0499,g2
r0503,g2
r0504,g2
r0508,g2
r0509,g2
r0511,g2
r0513,g2
r0515,g5
r0516,g2
r0518,g2
r0521,g2
r0525,g1
r0537,g2
r0541,g2
r0553,g2
r0556,g2
r0559,g2
r0567,g2
r0586,g2
r0588,g2
r0594,g2
r0596,g2
r0598,g2
r0634,g2
r0642,g2
r0644,g2
r0651,g2
r0666,g2
r0680,g2
r0684,g2
r0686,g2
r0709,g1
r0711,g2
r0713,g2
r0718,g2
r0719,g2
w0005,g7
w0018,g9
w0021,g7
w0025,g9
w0026,g9
w0032,g7
w0033,g7
w0037,g9
w0038,g9
w0042,g7
w0043,g9
w0044,g7
w0048,g9
w0052,g7
w0072,g9
w0081,g7
w0085,g9
w0086,g9
w0087,g7
w0089,g7
w0090,g9
w0104,g9
w0105,g7
w0109,g9
w0111,g7
w0112,g7
w0114,g7
w0116,g9
w0124,g13
w0126,g9
w0127,g7
w0131,g9
w0138,g7
